"specificEpithet","n","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",200,10246785,"APCR",NA,NA,NA,"","Arkansas","scott","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246785",-94.0745859023814,34.8665365402779,"county_centroid"
"mexicana",200,11535437,"LSU",1981,5,28,"1981-05-28","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535437",-93.6583185509703,34.5477290251178,"county_centroid"
"mexicana",200,19212183,"UCHT",NA,NA,NA,"","Texas","austin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212183",-96.2806889668501,29.8902364526,"county_centroid"
"mexicana",200,5465867,"EKY",1977,4,16,"1977-04-16","Kentucky","harrison","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465867",-84.3300282090059,38.4375268966359,"county_centroid"
"mexicana",200,5894933,"MISS",1976,3,13,"1976-03-13","Mississippi","tishomingo","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894933",-88.2445222765255,34.7439273806147,"county_centroid"
"mexicana",200,6260292,"MISS",2000,8,19,"2000-08-19","Mississippi","yalobusha","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6260292",-89.7041242496787,34.0298035371348,"county_centroid"
"mexicana",200,21186194,"ANHC",2009,10,21,"2009-10-21","Arkansas","perry","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186194",-92.9415163009449,34.9423457912257,"county_centroid"
"mexicana",200,12911681,"UARK",NA,NA,NA,"","Arkansas","scott","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911681",-94.0745859023814,34.8665365402779,"county_centroid"
"mexicana",200,5894913,"MISS",1967,5,26,"1967-05-26","Mississippi","kemper","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894913",-88.6415416335807,32.7541454927656,"county_centroid"
"mexicana",200,10246811,"APCR",NA,NA,NA,"","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246811",-93.0333960172532,35.4408190819314,"county_centroid"
"mexicana",200,22504781,"KANU",2006,5,11,"2006-05-11","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22504781",-95.26588,38.17268,"geo_referenced"
"mexicana",200,12911678,"UARK",NA,NA,NA,"","Arkansas","saline","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911678",-92.6723080115477,34.6500778458355,"county_centroid"
"mexicana",200,22620185,"KANU",1965,5,4,"1965-05-04","Kansas","Pottawatomie","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620185",-96.41217,39.46775,"geo_referenced"
"mexicana",200,12911159,"UARK",NA,NA,NA,"","Arkansas","polk","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911159",-94.2378527190756,34.4970142946061,"county_centroid"
"mexicana",200,12877025,"UARK",NA,NA,NA,"","Arkansas","carroll","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877025",-93.547630936813,36.3378140869541,"county_centroid"
"mexicana",200,11327035,"LSUS",1976,4,3,"1976-04-03","Louisiana","east baton rouge","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11327035",-91.0981440554658,30.5361795311602,"county_centroid"
"mexicana",200,12911688,"UARK",NA,NA,NA,"","Arkansas","van buren","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911688",-92.5262734495765,35.5736545483683,"county_centroid"
"mexicana",200,12911680,"UARK",NA,NA,NA,"","Arkansas","saline","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911680",-92.6723080115477,34.6500778458355,"county_centroid"
"mexicana",200,6637829,"STAR",NA,NA,NA,"","Arkansas","greene","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6637829",-90.5598378759332,36.1161983317322,"county_centroid"
"mexicana",200,5465875,"EKY",1999,7,13,"1999-07-13","Kentucky","nicholas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465875",-84.0049957906084,38.3378659052563,"county_centroid"
"mexicana",200,21186197,"ANHC",2005,3,21,"2005-03-21","Arkansas","saline","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186197",-92.6723080115477,34.6500778458355,"county_centroid"
"mexicana",200,10248420,"HXC",1973,6,27,"1973-06-27","Arkansas","Clay","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10248420",-90.323037,36.405114,"geo_referenced"
"mexicana",200,11535283,"LSU",1979,11,15,"1979-11-15","Louisiana","orleans","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535283",-89.933100813107,30.0344298188126,"county_centroid"
"mexicana",200,22620181,"KANU",1965,8,19,"1965-08-19","Kansas","Greenwood","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620181",-96.088894,37.669531,"geo_referenced"
"mexicana",200,16919891,"NCU",NA,NA,NA,"","Alabama","colbert","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16919891",-87.8109759946497,34.7027604714874,"county_centroid"
