Family,Genus,Species,Pollination,Phen.sequence,heigh_height,flower_class,flo_time,av_fruit_time,shade_tol,imputed_resp,imputed_pred,name,pro,pro2,pol,class,class2,flo_type,shade_bin,fruiting,pro3
Rosaceae,Dasiphora,fruticosa,insect,ser,1,perfect,7.5,12,intolerant,Y,N,Dasiphora_fruticosa,0,0,0,0shrub,0,0,0,12,0
Rosaceae,Spiraea,alba,insect,ser,2,perfect,7.5,9,intolerant,Y,N,Spiraea_alba,0,0,0,0shrub,0,0,0,9,0
Rosaceae,Spiraea,tomentosa,insect,ser,1.2,perfect,7.5,9,intolerant,Y,N,Spiraea_tomentosa,0,0,0,0shrub,0,0,0,9,0
Rosaceae,Prunus,nigra,insect,pro,9,perfect,4.5,8.5,intolerant,N,N,Prunus_nigra,1,1,0,0shrub,0,0,0,8.5,1
Rosaceae,Prunus,serotina,insect,syn,25,perfect,5.5,8.5,tolerant,N,N,Prunus_serotina,0,1,0,2talltree,1,0,1,8.5,0
Rosaceae,Prunus,virginiana,insect,syn/ser,10,perfect,5.5,7.5,moderately_tolerant,N,N,Prunus_virginiana,0,0,0,1smalltree,0,0,1,7.5,0
Rosaceae,Prunus,avium,insect,pro,18,perfect,4,8.5,moderately_tolerant,N,N,Prunus_avium,1,1,0,1smalltree,1,0,1,8.5,1
Rosaceae,Prunus,pensylvanica,insect,syn,10,perfect,5.5,7.5,intolerant,N,N,Prunus_pensylvanica,0,1,0,1smalltree,0,0,0,7.5,0
Rosaceae,Prunus,pumila,insect,ser,1.5,perfect,5.5,8,intolerant,Y,N,Prunus_pumila,0,0,0,0shrub,0,0,0,8,0
Rosaceae,Prunus,americana,insect,pro,10,perfect,4.5,8.5,intolerant,N,N,Prunus_americana,1,1,0,1smalltree,0,0,0,8.5,1
Rosaceae,Amelanchier,sanguinea,insect,ser,8,perfect,4.5,7,intolerant,N,N,Amelanchier_sanguinea,0,0,0,0shrub,0,0,0,7,0
Rosaceae,Amelanchier,arborea,insect,pro/syn,8,perfect,4.5,7,tolerant,N,N,Amelanchier_arborea,1,1,0,0shrub,0,0,1,7,0
Rosaceae,Amelanchier,laevis,insect,syn/ser,10,perfect,4,7,tolerant,N,N,Amelanchier_laevis,0,0,0,1smalltree,0,0,1,7,0
Rosaceae,Crataegus,succulenta,insect,syn,8,perfect,5.5,9.5,intolerant,N,N,Crataegus_succulenta,0,1,0,0shrub,0,0,0,9.5,0
Rosaceae,Crataegus,punctata,insect,syn,10,perfect,5.5,8.5,intolerant,N,N,Crataegus_punctata,0,1,0,1smalltree,0,0,0,8.5,0
Rosaceae,Crataegus,macrosperma,insect,syn,7,perfect,5.5,9.5,intolerant,N,N,Crataegus_macrosperma,0,1,0,0shrub,0,0,0,9.5,0
Rosaceae,Crataegus,chrysocarpa,insect,syn,6,perfect,5.5,9,intolerant,N,N,Crataegus_chrysocarpa,0,1,0,0shrub,0,0,0,9,0
Rosaceae,Crataegus,crus-galli,insect,syn,10,perfect,5.5,9.5,intolerant,N,N,Crataegus_crus-galli,0,1,0,1smalltree,0,0,0,9.5,0
Rosaceae,Malus,pumila,insect,syn,12,perfect,5,8.5,moderately_tolerant,N,N,Malus_pumila,0,1,0,1smalltree,0,0,1,8.5,0
Rosaceae,Malus,coronaria,insect,ser,7,perfect,5,10,intolerant,N,N,Malus_coronaria,0,0,0,0shrub,0,0,0,10,0
Fabaceae,Cercis,canadensis,insect,pro/syn,25,perfect,4.5,6.5,moderately_tolerant,N,N,Cercis_canadensis,1,1,0,2talltree,1,0,1,6.5,0
Fabaceae,Gymnocladus,dioicus,insect,ser,26,dioecious,6,9.5,intolerant,N,N,Gymnocladus_dioica,0,0,0,2talltree,1,1,0,9.5,0
Fabaceae,Gleditsia,triacanthos,insect,syn/ser,26,dioecious,5.5,9.5,intolerant,N,N,Gleditsia_triacanthos,0,0,0,2talltree,1,1,0,9.5,0
Fabaceae,Robinia,pseudoacacia,insect,ser,18,perfect,5.5,10,intolerant,N,N,Robinia_pseudoacacia,0,0,0,1smalltree,1,0,0,10,0
Cornaceae,Cornus,florida,insect,syn,10,perfect,5.5,10,tolerant,N,N,Cornus_florida,0,1,0,1smalltree,0,0,1,10,0
Cornaceae,Cornus,alternifolia,insect,ser,8,perfect,5.5,10,tolerant,N,N,Cornus_alternifolia,0,0,0,0shrub,0,0,1,10,0
Cornaceae,Cornus,sericea,insect,ser,3,perfect,6,9,intolerant,Y,N,Cornus_sericea,0,0,0,0shrub,0,0,0,9,0
Cornaceae,Cornus,amomum,insect,ser,4,perfect,6,8.5,intolerant,N,N,Cornus_amomum,0,0,0,0shrub,0,0,0,8.5,0
Cornaceae,Cornus,foemina,insect,ser,5,perfect,5.5,8,intolerant,Y,N,Cornus_foemina,0,0,0,0shrub,0,0,0,8,0
Cornaceae,Cornus,rugosa,insect,ser,3,perfect,5.5,8.5,intolerant,Y,N,Cornus_rugosa,0,0,0,0shrub,0,0,0,8.5,0
Nyssaceae,Nyssa,sylvatica,insect,syn,18,dioecious,5.5,10,tolerant,N,N,Nyssa_sylvatica,0,1,0,1smalltree,1,1,1,10,0
Ericaceae,Kalmia,angustifolia,insect,ser,1.7,perfect,6.5,12,intolerant,Y,N,Kalmia_angustifolia,0,0,0,0shrub,0,0,0,12,0
Ericaceae,Kalmia,polifolia,insect,ser,0.7,perfect,5.5,12,intolerant,Y,N,Kalmia_polifolia,0,0,0,0shrub,0,0,0,12,0
Ericaceae,Vaccinium,angustifolium,insect,ser,0.5,perfect,5.5,7.5,intolerant,Y,N,Vaccinium_angustifolium,0,0,0,0shrub,0,0,0,7.5,0
Ericaceae,Vaccinium,myrtilloides,insect,syn,0.5,perfect,5.5,7.5,moderately_tolerant,N,N,Vaccinium_myrtilloides,0,1,0,0shrub,0,0,1,7.5,0
Ericaceae,Vaccinium,ovalifolium,insect,pro,1.5,perfect,5.5,7.5,moderately_tolerant,N,N,Vaccinium_ovalifolium,1,1,0,0shrub,0,0,1,7.5,1
