specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,leaves,bbch.f,bbch.v,doy,bbch.v.scale,species,YEAR.hin
americana,3849034,APSC,1994,4,10,4/10/94,Kentucky,christian,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3849034,-87.48503111,36.89254854,county_centroid,Y,Y,67,9,100,2,americana,14
americana,4940252,WIS,1957,5,4,5/4/57,Wisconsin,rock,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4940252,-89.07666033,42.67161866,county_centroid,Y,Y,65,10,124,3,americana,0
americana,5011324,WIS,1957,5,3,5/3/57,Wisconsin,iowa,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011324,-90.13356235,43.00165678,county_centroid,Y,Y,65,10,123,3,americana,0
americana,15221811,NY,1983,4,10,4/10/83,Utah,Washington Co.,https://midwestherbaria.org/portal/collections/individual/index.php?occid=15221811,-113.0065,37.1932,geo_referenced,Y,Y,65,11,100,3,americana,3
americana,19211342,UCHT,2001,4,19,4/19/01,Tennessee,roane,https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211342,-84.51270263,35.85237704,county_centroid,Y,Y,65,15,109,4,americana,21
americana,22480413,KANU,1970,5,21,5/21/70,South Dakota,Pennington,https://midwestherbaria.org/portal/collections/individual/index.php?occid=22480413,-103.45703,44.09247,geo_referenced,Y,Y,65,10,141,3,americana,0
americana,5040021,WIS,1964,5,23,5/23/64,Wisconsin,dane,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5040021,-89.42050383,43.06816145,county_centroid,Y,Y,65,10,144,3,americana,0
americana,16658107,FSU,1967,3,31,3/31/67,Missouri,mcdonald,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16658107,-94.36057043,36.63852777,county_centroid,Y,N,65,0,90,1,americana,0
americana,4982140,WIS,1926,5,8,5/8/26,Wisconsin,dane,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4982140,-89.42050383,43.06816145,county_centroid,Y,N,65,0,128,1,americana,0
americana,17193568,NY,1902,5,4,5/4/02,Pennsylvania,,https://midwestherbaria.org/portal/collections/individual/index.php?occid=17193568,-75.255176,40.201774,geo_referenced,Y,Y,65,11,124,3,americana,0
americana,16185668,MOAR,2003,5,5,5/5/03,Pennsylvania,Bucks,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16185668,-75.32036,40.439317,geo_referenced,Y,Y,65,14,125,4,americana,23
americana,5152735,WIS,1931,5,3,5/3/31,Wisconsin,trempealeau,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5152735,-91.36023038,44.30886042,county_centroid,Y,Y,67,15,123,4,americana,0
americana,13273686,TENN,1969,4,19,4/19/69,Arkansas,yell,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13273686,-93.41370271,35.00455982,county_centroid,Y,Y,69,17,109,5,americana,0
americana,20393209,PH,1908,5,5,5/5/08,Pennsylvania,lehigh,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393209,-75.59169798,40.61643793,county_centroid,Y,Y,65,9,126,2,americana,0
americana,20393215,PH,1915,5,8,5/8/15,Pennsylvania,lehigh,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393215,-75.59169798,40.61643793,county_centroid,Y,Y,67,17,128,5,americana,0
americana,13793096,COLO,1991,5,8,5/8/91,Colorado,Boulder,https://midwestherbaria.org/portal/collections/individual/index.php?occid=13793096,-105.2826811,39.9817921,geo_referenced,Y,Y,65,11,128,3,americana,11
americana,24641959,NY,1968,4,7,4/7/68,Kansas,Linn Co.,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24641959,-94.702506,38.254844,geo_referenced,Y,Y,65,9,98,2,americana,0
americana,4161763,TTRS,1981,3,18,3/18/81,Florida,Leon,https://midwestherbaria.org/portal/collections/individual/index.php?occid=4161763,-84.27766976,30.45845973,geo_referenced,Y,Y,65,0,77,1,americana,1
americana,11585314,IND,1920,5,25,5/25/20,Indiana,Steuben,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11585314,-84.893736,41.721717,geo_referenced,Y,Y,65,17,146,5,americana,0
americana,21268842,UAM,1987,3,22,3/22/87,Arkansas,independence,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268842,-91.5785779,35.73542151,county_centroid,Y,N,65,0,81,1,americana,7
