"","id","name","GEN.SPA","Force","Light","Chill","good_flaskid","flo_day","Lbb_day","leaf_day","Lexpand_day","treatcode","Flo.poss.","Dead.alive"
"22","BETALL33 HF DB_WS0_24","BETALL33 HF DB","BET.ALL","W","L",0,"WS0_24",NA,NA,79,76,"W_S_0","N","A"
"23","ILEVER03 HF DB_WS0_24","ILEVER03 HF DB","ILE.VER","W","L",0,"WS0_24",NA,28,42,33,"W_S_0","N","A"
"24","VACCOR 89 HF DB_WS0_24","VACCOR 89 HF DB","VAC.COR","W","L",0,"WS0_24",23,16,54,50,"W_S_0","Y","A"
"25","ACERUB23 HF DB_WS0_23","ACERUB23 HF DB","ACE.RUB","W","L",0,"WS0_23",NA,NA,NA,NA,"W_S_0","?","?"
"26","ILEVER ? HF DB_WS0_23","ILEVER ? HF DB","ILE.VER","W","L",0,"WS0_23",NA,19,26,23,"W_S_0","N","A"
"27","VACCOR 3 HF DB_WS0_23","VACCOR 3 HF DB","VAC.COR","W","L",0,"WS0_23",NA,NA,NA,NA,"W_S_0","N","?"
"28","ACEPEN15 HF DB_WS0_22","ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_22",NA,54,65,63,"W_S_0","N","A"
"29","ILEVER03 HF DB_WS0_22","ILEVER03 HF DB","ILE.VER","W","L",0,"WS0_22",NA,19,NA,30,"W_S_0","N","D"
"30","PRUPEN 22 HF DB_WS0_22","PRUPEN 22 HF DB","PRU.PEN","W","L",0,"WS0_22",33,19,26,21,"W_S_0","Y","A"
"31","ACESAC13 HF DB_WS0_21","ACESAC13 HF DB","ACE.SAC","W","L",0,"WS0_21",NA,NA,70,68,"W_S_0","N","A"
"32","COMPER 6 HF DB_WS0_21","COMPER 6 HF DB","COM.PER","W","L",0,"WS0_21",21,30,47,40,"W_S_0","Y","A"
"33","PRUVIR 4 HF DB_WS0_21","PRUVIR 4 HF DB","PRU.VIR","W","L",0,"WS0_21",NA,NA,NA,NA,"W_S_0","?","?"
"34","ILEMUC 9 HF DB_WS0_20","ILEMUC 9 HF DB","ILE.MUC","W","L",0,"WS0_20",NA,37,45,42,"W_S_0","N","A"
"35","PRUPEN 22 HF DB_WS0_20","PRUPEN 22 HF DB","PRU.PEN","W","L",0,"WS0_20",26,14,33,19,"W_S_0","Y","A"
"36","VIBACE10 HF DB_WS0_20","VIBACE10 HF DB","VIB.ACE","W","L",0,"WS0_20",NA,61,NA,93,"W_S_0","?","A"
"37","ACEPEN15 HF DB_WS0_2","ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_2",NA,45,54,52,"W_S_0","N","A"
"38","COMPER 8 HF DB_WS0_2","COMPER 8 HF DB","COM.PER","W","L",0,"WS0_2",NA,NA,NA,NA,"W_S_0","?","?"
"39","PRUVIR 6 HF DB_WS0_2","PRUVIR 6 HF DB","PRU.VIR","W","L",0,"WS0_2",50,26,45,40,"W_S_0","Y","A"
"40","CORCOR16 HF_WS0_19","CORCOR16 HF","COR.COR","W","L",0,"WS0_19",73,104,NA,107,"W_S_0","Y","A"
"41","PRUPEN 23 HF DB_WS0_19","PRUPEN 23 HF DB","PRU.PEN","W","L",0,"WS0_19",NA,NA,NA,NA,"W_S_0","?","?"
"42","PRUVIR 6 HF DB_WS0_19","PRUVIR 6 HF DB","PRU.VIR","W","L",0,"WS0_19",NA,93,NA,107,"W_S_0","N","A"
"43","ACESAC18 HF DB_WS0_18","ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_18",NA,NA,NA,NA,"W_S_0","N","?"
"44","ILEMUC 10 HF DB_WS0_18","ILEMUC 10 HF DB","ILE.MUC","W","L",0,"WS0_18",33,23,33,30,"W_S_0","Y","A"
"45","VIBACE02 HF DB_WS0_18","VIBACE02 HF DB","VIB.ACE","W","L",0,"WS0_18",NA,42,NA,110,"W_S_0","?","A"
"46","ACEPEN19 HF DB_WS0_17","ACEPEN19 HF DB","ACE.PEN","W","L",0,"WS0_17",NA,56,65,63,"W_S_0","N","A"
"47","ACERUB25 HF DB_WS0_17","ACERUB25 HF DB","ACE.RUB","W","L",0,"WS0_17",NA,NA,NA,NA,"W_S_0","?","?"
"48","PRUPEN 24 HF DB_WS0_17","PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_17",NA,16,21,19,"W_S_0","N","A"
"49","COMPER 3 HF DB_WS0_16","COMPER 3 HF DB","COM.PER","W","L",0,"WS0_16",NA,NA,NA,NA,"W_S_0","?","?"
"50","VACCOR 2 HF DB_WS0_16","VACCOR 2 HF DB","VAC.COR","W","L",0,"WS0_16",NA,19,28,21,"W_S_0","N","A"
"51","VIBACE02 HF DB_WS0_16","VIBACE02 HF DB","VIB.ACE","W","L",0,"WS0_16",NA,NA,NA,NA,"W_S_0","?","?"
"52","ACERUB26 HF DB_WS0_15","ACERUB26 HF DB","ACE.RUB","W","L",0,"WS0_15",NA,NA,NA,NA,"W_S_0","?","?"
"53","COMPER 8 HF DB_WS0_15","COMPER 8 HF DB","COM.PER","W","L",0,"WS0_15",NA,NA,NA,NA,"W_S_0","?","?"
"54","PRUVIR 6 HF DB_WS0_15","PRUVIR 6 HF DB","PRU.VIR","W","L",0,"WS0_15",96,NA,82,79,"W_S_0","Y","A"
