"specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass"
"mexicana",5894936,"MISS",1966,8,29,"1966-08-29","Mississippi","wayne","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894936",-88.6957322426883,31.6446891228429,"county_centroid"
"mexicana",21409337,"GA",NA,NA,NA,"","Missouri","clinton ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21409337",NA,NA,"county_centroid"
"mexicana",12911694,"UARK",1968,4,13,"1968-04-13","Arkansas","washington","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911694",-94.2216888134588,35.9760941259323,"county_centroid"
"mexicana",10246783,"APCR",1968,4,10,"1968-04-10","Arkansas","stone","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246783",-92.1609512828929,35.853219629155,"county_centroid"
"mexicana",7188922,"ILL",NA,NA,NA,"","","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7188922",NA,NA,"county_centroid"
"mexicana",21186193,"ANHC",2002,4,5,"2002-04-05","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186193",-93.6583185509703,34.5477290251178,"county_centroid"
"mexicana",19212193,"UCHT",NA,NA,NA,"","Texas","austin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212193",-96.2806889668501,29.8902364526,"county_centroid"
"mexicana",23732250,"Harvard",1902,9,11,"1902-09-11","Texas","dallas ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732250",NA,NA,"county_centroid"
"mexicana",23732294,"Harvard",1992,3,30,"1992-03-30","Texas","llano ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732294",NA,NA,"county_centroid"
"mexicana",15836850,"FLAS",NA,NA,NA,"","Mississippi","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15836850",NA,NA,"county_centroid"
"mexicana",23732350,"Harvard",1918,4,15,"1918-04-15","Texas","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732350",NA,NA,"county_centroid"
"mexicana",7460303,"EMC",1971,3,28,"1971-03-28","Louisiana","ouachita parish","https://midwestherbaria.org/portal/collections/individual/index.php?occid=7460303",NA,NA,"county_centroid"
"mexicana",12877105,"UARK",NA,NA,NA,"","Arkansas","howard","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877105",-93.997883317203,34.0955366789395,"county_centroid"
"mexicana",11405604,"UCAC",1963,7,16,"1963-07-16","Arkansas","franklin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11405604",-93.8983096337508,35.5054675778763,"county_centroid"
"mexicana",17037409,"VDB",NA,NA,NA,"","Alabama","","https://midwestherbaria.org/portal/collections/individual/index.php?occid=17037409",NA,NA,"county_centroid"
"mexicana",23732417,"Harvard",1915,3,29,"1915-03-29","Texas","san augustine ","https://midwestherbaria.org/portal/collections/individual/index.php?occid=23732417",NA,NA,"county_centroid"
"mexicana",12877131,"UARK",NA,NA,NA,"","Arkansas","little river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877131",-94.2431688660344,33.7094300838337,"county_centroid"
"mexicana",13497871,"TEX",1899,4,19,"1899-04-19","Texas","fort bend","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497871",-95.7833792204973,29.5359286605088,"county_centroid"
"mexicana",20807962,"UCHT",NA,NA,NA,"","Texas","austin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20807962",-96.2806889668501,29.8902364526,"county_centroid"
